Added Pin To Net: NetName=AIB_8 Pin=J?-2
Added Pin To Net: NetName=AIB_7 Pin=J?-3
Added Pin To Net: NetName=AIB_6 Pin=J?-4
Added Pin To Net: NetName=AIB_5 Pin=J?-5
Added Pin To Net: NetName=AIB_4 Pin=J?-7
Added Pin To Net: NetName=AIB_3 Pin=J?-8
Added Pin To Net: NetName=AIB_2 Pin=J?-9
Added Pin To Net: NetName=AIB_1 Pin=J?-10
Added Member To Class: ClassName=U_Conectores Member=Component J? 1729209
Added Member To Class: ClassName=U_EntradasAnalogicas1 Member=Component R?_U_EntradasAnalogicas1 (R?) 39k
Added Member To Class: ClassName=U_EntradasAnalogicas2 Member=Component R?_U_EntradasAnalogicas2 (R?) 2k7
Added Member To Class: ClassName=U_EntradasAnalogicas3 Member=Component R?_U_EntradasAnalogicas3 (R?) 2k7
Added Member To Class: ClassName=U_EntradasAnalogicas4 Member=Component R?_U_EntradasAnalogicas4 (R?) 39k
Added Member To Class: ClassName=U_EntradasAnalogicas5 Member=Component R?_U_EntradasAnalogicas5 (R?) 39k
Added Member To Class: ClassName=U_EntradasAnalogicas6 Member=Component R?_U_EntradasAnalogicas6 (R?) 2k7
Added Member To Class: ClassName=U_EntradasAnalogicas7 Member=Component R?_U_EntradasAnalogicas7 (R?) 2k7
Added Member To Class: ClassName=U_EntradasAnalogicas8 Member=Component R?_U_EntradasAnalogicas8 (R?) 2k7
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
