Removed Member From Class: ClassName=U_EntradasAnalogicas8 Member=R?_U_EntradasAnalogicas1
Removed Member From Class: ClassName=U_EntradasAnalogicas7 Member=R?_U_EntradasAnalogicas2
Removed Member From Class: ClassName=U_EntradasAnalogicas6 Member=R?_U_EntradasAnalogicas3
Removed Member From Class: ClassName=U_EntradasAnalogicas5 Member=R?_U_EntradasAnalogicas4
Removed Member From Class: ClassName=U_EntradasAnalogicas8 Member=Z?_U_EntradasAnalogicas1
Removed Member From Class: ClassName=U_EntradasAnalogicas7 Member=Z?_U_EntradasAnalogicas2
Removed Member From Class: ClassName=U_EntradasAnalogicas6 Member=Z?_U_EntradasAnalogicas3
Removed Member From Class: ClassName=U_EntradasAnalogicas5 Member=Z?_U_EntradasAnalogicas4
Added Member To Class: ClassName=U_Conectores Member=Component J? 1729209
Added Member To Class: ClassName=U_EntradasAnalogicas1 Member=Component R?_U_EntradasAnalogicas1 (R?) 2k7
Added Member To Class: ClassName=U_EntradasAnalogicas2 Member=Component R?_U_EntradasAnalogicas2 (R?) 2k7
Added Member To Class: ClassName=U_EntradasAnalogicas3 Member=Component R?_U_EntradasAnalogicas3 (R?) 2k7
Added Member To Class: ClassName=U_EntradasAnalogicas4 Member=Component R?_U_EntradasAnalogicas4 (R?) 2k7
Added Member To Class: ClassName=U_EntradasAnalogicas5 Member=Component R?_U_EntradasAnalogicas5 (R?) 39k
Added Member To Class: ClassName=U_EntradasAnalogicas5 Member=Component R?_U_EntradasAnalogicas5 (R?) 2k7
Added Member To Class: ClassName=U_EntradasAnalogicas6 Member=Component R?_U_EntradasAnalogicas6 (R?) 39k
Added Member To Class: ClassName=U_EntradasAnalogicas6 Member=Component R?_U_EntradasAnalogicas6 (R?) 2k7
Added Member To Class: ClassName=U_EntradasAnalogicas7 Member=Component R?_U_EntradasAnalogicas7 (R?) 2k7
Added Member To Class: ClassName=U_EntradasAnalogicas7 Member=Component R?_U_EntradasAnalogicas7 (R?) 39k
Added Member To Class: ClassName=U_EntradasAnalogicas8 Member=Component R?_U_EntradasAnalogicas8 (R?) 39k
Added Member To Class: ClassName=U_EntradasAnalogicas8 Member=Component R?_U_EntradasAnalogicas8 (R?) 2k7
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=MM-08 FPS-400 Member=Component R? 1K
Added Member To Class: ClassName=U_EntradasAnalogicas5 Member=Component Z?_U_EntradasAnalogicas5 (Z?) MMSZ5226B-7-F
Added Member To Class: ClassName=U_EntradasAnalogicas6 Member=Component Z?_U_EntradasAnalogicas6 (Z?) MMSZ5226B-7-F
Added Member To Class: ClassName=U_EntradasAnalogicas7 Member=Component Z?_U_EntradasAnalogicas7 (Z?) MMSZ5226B-7-F
Added Member To Class: ClassName=U_EntradasAnalogicas8 Member=Component Z?_U_EntradasAnalogicas8 (Z?) MMSZ5226B-7-F
