Altium Designer Pick and Place Locations
C:\Users\maria\Documents\Inelco\Central Incendio\CPU FPS-400\MM-08 FPS-400\MM08-FPS-400\Project Outputs for MM08-FPS-400\Pick Place for PCB-MM-08-FPS-400 - CHINA.txt

========================================================================================================================
File Design Information:

Date:       28/04/23
Time:       11:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator               Comment             Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                            
D7                       M7L                 TopLayer DIONM5327X240N            30.7340      71.1200      180      Diode                                  
J?                       1729021             TopLayer 1729021                   44.7390      77.9780      180      Connector                              
IC8                      ESP32-S3-WROOM-1-N4 TopLayer ESP32S3WROOM1N4           16.3730      37.3510      90       "Integrated Circuit"                   
P?                       "Header 16"         TopLayer HDR1X16                   55.1180      36.8300      270      "Header, 16-Pin"                       
R?                       1K                  TopLayer RESC3216X75N              30.9880      35.8140      0        Resistor                               
R?                       10K                 TopLayer RESC3216X75N              36.0680      35.8140      180      Resistor                               
Q?                       BC817-40            TopLayer BC81740215                36.0680      38.6080      0        "Transistor BJT NPN"                   
D?                       M7A                 TopLayer DIOM5027X262N             36.8300      42.9260      0        Diode                                  
K?                       JS1-12V-F           TopLayer JS1-12V-F_1               45.3700      56.0190      90       "Relay or Contactor"                   
LED1                     APHCM2012SURCK-F01  TopLayer APHCM2012SURCKF01         43.2490      44.1960      180      LED                                    
LED3                     APHCM2012SURCK-F01  TopLayer APHCM2012SURCKF01         43.2490      41.4020      180      LED                                    
LED5                     APHCM2012SURCK-F01  TopLayer APHCM2012SURCKF01         43.2490      38.6080      180      LED                                    
R2                       1K                  TopLayer RESC3216X75N              49.1600      44.1960      180      Resistor                               
R6                       1K                  TopLayer RESC3216X75N              49.1490      38.6080      180      Resistor                               
R4                       1K                  TopLayer RESC3216X75N              49.1600      41.4020      180      Resistor                               
LED7                     APHCM2012SURCK-F01  TopLayer APHCM2012SURCKF01         43.2490      35.8140      180      LED                                    
R9                       1K                  TopLayer RESC3216X75N              49.1600      35.8140      180      Resistor                               
S2                       1825965-1           TopLayer TAC-SWITCH_2CONT._3,5X6MM 43.3240      32.4770      0        Switch                                 
S3                       1825965-1           TopLayer TAC-SWITCH_2CONT._3,5X6MM 43.3240      28.0320      0        Switch                                 
C4                       1uF                 TopLayer CAPC3216X100N             36.0680      29.3020      180      "100NFX50V X7R 10% CER.MULT. SMD 1206" 
C3                       1uF                 TopLayer CAPC3216X100N             36.0680      32.4770      180      "100NFX50V X7R 10% CER.MULT. SMD 1206" 
R8                       10K                 TopLayer RESC3216X75N              30.9880      29.3020      180      Resistor                               
R7                       10K                 TopLayer RESC3216X75N              30.9880      32.4770      180      Resistor                               
Z?_U_EntradasAnalogicas1 MMSZ5226B-7-F       TopLayer MMSZ5226B7F               5.5880       9.6350       0        "Zener Diode"                          
Z?_U_EntradasAnalogicas2 MMSZ5226B-7-F       TopLayer MMSZ5226B7F               10.6680      9.6350       0        "Zener Diode"                          
Z?_U_EntradasAnalogicas3 MMSZ5226B-7-F       TopLayer MMSZ5226B7F               15.7480      9.6350       0        "Zener Diode"                          
Z?_U_EntradasAnalogicas4 MMSZ5226B-7-F       TopLayer MMSZ5226B7F               20.8280      9.6350       0        "Zener Diode"                          
Z?_U_EntradasAnalogicas5 MMSZ5226B-7-F       TopLayer MMSZ5226B7F               30.9880      9.6350       0        "Zener Diode"                          
